AODV,DSDV,DSR
2.134364, 1408.708014 , 117.755516 
2.235387, 372.191653 , 234.055554 
2.368585, 189.793621 , 365.237155 
2.544210, 140.299127 , 112.829874 
2.671804, 106.587466 , 322.582942 
2.820991, 86.871196 , 289.340318 
2.926698, 349.644849 , 249.706814 
3.069777, 172.211900 , 282.054034 
3.180952, 332.451079 , 370.237068 
3.317767, 106.420831 , 195.870390 
3.437497, 211.142131 , 223.472093 
3.551007, 325.610469 , 226.548537 
3.660677, 115.254410 , 252.315540 
3.789904, 203.053414 , 338.214224 
3.915894, 293.357654 , 8.374260 
4.038731, 200.590879 , 457.758874 
4.139496, 12.702797 , 5.110214 
4.260162, 107.403742 , 396.211123 
4.385500, 201.694977 , 130.804767 
4.500643, 320.993365 , 117.617379 
4.660435, 158.204882 , 222.343813 
4.770593, 335.518199 , 345.916811 
4.889900, 211.890177 , 240.236348 
5.011253, 117.343708 , 472.240432 
5.183739, 146.563215 , 248.186932 
5.301880, 106.990501 , 188.909922 
5.407033, 360.615527 , 187.447796 
5.523584, 113.941821 , 232.906249 
5.663032, 269.635012 , 192.563123 
5.792338, 195.505494 , 363.345057 
5.913387, 208.841369 , 169.941697 
6.073411, 78.988092 , 270.223639 
6.177259, 362.068129 , 448.906244 
6.312836, 184.100824 , 233.995394 
6.415416, 9.358603 , 189.783037 
6.624826, 61.888129 , 300.962463 
6.782060, 78.354749 , 251.863327 
6.886167, 239.752350 , 226.059139 
7.024355, 269.776934 , 387.161186 
7.152021, 482.508503 , 226.689663 
7.361329, 119.250417 , 201.578746 
7.493341, 107.869006 , 123.885266 
7.605039, 116.027260 , 393.750300 
7.710766, 466.106809 , 116.071378 
7.839272, 194.231320 , 197.198521 
7.944947, 466.337806 , 489.624005 
8.051719, 124.376579 , 218.099142 
8.158808, 251.007258 , 177.403139 
8.403603, 3.921636 , 433.360009 
8.509504, 235.693419 , 81.954554 
8.676243, 223.583273 , 463.049490 
8.798723, 7.837963 , 367.525679 
8.904612, 235.719651 , 7.381799 
9.032130, 195.736153 , 329.478342 
9.143466, 553.281592 , 229.577609 
9.245859, 132.821162 , 121.482524 
9.355682, 118.008768 , 428.537888 
9.504835, 84.745301 , 134.165572 
9.616983, 8.560070 , 340.638220 
9.734442, 107.611777 , 12.563146 
9.862679, 194.640590 , 467.112928 
9.974317, 336.802630 , 321.280211 
10.082798, 570.792246 , 311.761255 
10.208621, 296.288643 , 12.102919 
10.309321, 254.220424 , 432.916336 
10.470930, 152.466763 , 232.993251 
10.576348, 251.949755 , 129.590005 
10.719569, 88.255109 , 596.682151 
10.867352, 252.262175 , 124.339884 
11.040780, 76.573575 , 11.079475 
11.180161, 185.965362 , 511.979655 
11.289499, 456.565089 , 161.799585 
11.416909, 101.718333 , 305.647634 
11.529058, 222.561885 , 193.705849 
11.744359, 118.903391 , 157.296506 
11.856292, 234.425283 , 230.973622 
12.021730, 150.872021 , 155.677717 
12.161149, 267.395336 , 117.460951 
12.272805, 331.016656 , 231.546394 
12.420868, 8.644964 , 413.361507 
12.537237, 325.862450 , 247.818392 
12.646742, 225.012341 , 96.639652 
12.802485, 164.372856 , 386.446818 
12.918591, 318.331198 , 143.662656 
13.032514, 116.569450 , 309.518079 
13.140320, 120.215794 , 130.266892 
13.280006, 95.070717 , 96.073132 
13.384373, 242.221256 , 344.019075 
13.509909, 105.786693 , 369.539842 
13.705489, 251.968836 , 96.298324 
13.836360, 193.166872 , 277.454136 
13.938066, 124.279463 , 2.145488 
14.067412, 383.466914 , 14.275742 
14.170934, 12.364506 , 45.907010 
14.310633, 178.670777 , 52.964442 
14.420505, 117.954830 , 65.556081 
14.539098, 420.934961 , 234.350024 
14.644235, 129.355208 , 320.257135 
14.753346, 228.758455 , 196.428598 
14.950825, 64.006740 , 195.439250 
15.056699, 584.849005 , 291.524121 
15.170142, 331.444228 , 120.552648 
15.273697, 390.901622 , 318.561949 
